Rep,Mazur k,Mazur R^2,Mazur Sy_x,Myerson & Green k,Myerson & Green s,Myerson & Green R^2,Myerson & Green Sy_x,Rachlin k,Rachlin s,Rachlin R^2,Rachlin Sy_x
1,0.03844750966311039,0.9349714424678434,8.575628826651885,0.038560820316342365,0.9980670368385748,0.9349717911756649,8.575605833731787,0.03194806016626696,1.0521354129012719,0.9367733727694214,8.455979528059816
2,0.033550589565200774,0.9023557617550151,11.499106454493553,0.02411819669409236,1.2589356849915445,0.9054580410274422,11.314961541087603,0.02098821395661774,1.130065766449329,0.9114756045182255,10.94894485799014
3,0.029748802242022608,0.8614113691040208,10.98931758127715,0.0933534628123822,0.5073045753308865,0.9336983553971079,7.600970948694135,0.07075389390726815,0.7632487887699697,0.930512263566438,7.781458478814733
4,0.028314888298515736,0.9533012978666895,7.624178384730383,0.03027656994007336,0.9553289545974347,0.953437179481562,7.613078072117379,0.028625203654628784,0.9970374857162694,0.9533075944519417,7.623664367152625
5,0.027614318117460162,0.8132049783638868,12.083076576819582,0.10124185259807326,0.46393261778425354,0.9091864524914981,8.42500562853737,0.07334364068391627,0.7343603917468091,0.9031220896672233,8.701763192583059
6,0.02880384851644613,0.9530885071619621,6.890555326921836,0.04494966377099588,0.7487985427758481,0.9605718186051766,6.317103179044772,0.04107282924881679,0.9035562398039706,0.9612172695120436,6.2651833997556245
7,0.032469634390161095,0.921474173724012,8.166489780120196,0.07787783879429055,0.5887840598773605,0.9638463219844555,5.5412201957975675,0.06150722893780144,0.8236853600676228,0.9558161658970018,6.1257725195031885
8,0.028574207002548258,0.934404756233403,7.306711463736484,0.0703078520342598,0.5742706421100726,0.974014405831993,4.598880326114201,0.05685916653278905,0.8128189079515683,0.9734915272657051,4.644918904060616
9,0.02451215111765504,0.6674956592729511,14.388498636974672,0.159236686693558,0.349037656264736,0.8963691954963358,8.03269459334252,0.09629252853407443,0.6315613093123851,0.8962528602656603,8.037202052627043
10,0.02955333586725503,0.8039508673146178,11.583703419770027,0.1274511666729926,0.4336763463260322,0.9474853810865727,5.995219331295196,0.08844011468525909,0.7001269830036877,0.938350570014599,6.495752957167937
11,0.033169407833740776,0.9616939317597333,6.351591594024105,0.044752994622196875,0.8236211306952328,0.9654208933753441,6.034699660356319,0.03837237228319433,0.9597070841351915,0.9630114481235346,6.241406093995578
12,0.027017605307870295,0.8603128299125148,10.019489684307128,0.10210133248219731,0.45606403685789915,0.9639039144386411,5.093278178944322,0.07356504652327836,0.7284085500526067,0.9617038925847615,5.246197778845545
13,0.0298515561944667,0.9554944346196763,6.75105019648996,0.04773865658879018,0.7386957010335691,0.9644907453137396,6.0302449593504655,0.04197412696585684,0.9069162373165778,0.9631230461150037,6.1452802882869975
14,0.030444404092856446,0.9165756518721757,8.300928205066837,0.08374193858899248,0.5440732243550626,0.9742791579043958,4.609171187150647,0.06502195373060139,0.7920077670180468,0.968249162809809,5.121036099234977
15,0.032624146640721774,0.9439815685830661,7.109159784567695,0.06491367059776325,0.6529464454004413,0.9681042582045641,5.3643753352195,0.05291553752328563,0.8664604207313717,0.961722171045727,5.876604350019354
16,0.035320043246897616,0.9677966434634857,6.306322567953832,0.024958564368012554,1.2708941338215665,0.9714149147851826,5.941489809316961,0.02453885585219724,1.1010777624862018,0.97405829616335,5.66010984297789
17,0.0301305060418113,0.9386590336133515,8.426107340883858,0.03699634174069397,0.8723404562773891,0.9401466545408574,8.323306652429899,0.03333561680529752,0.972347040535448,0.939230037998774,8.386797612152046
18,0.03143302616465847,0.9397977797106077,7.505555727602957,0.0663912844840187,0.6300879023700203,0.96746179362568,5.517894647230309,0.05434975050463033,0.8495586622178456,0.963303136297819,5.859911728530816
19,0.036718519868090826,0.9005481587881188,12.957397112449044,0.005254173531224193,4.699180505329912,0.946069332566914,9.54177678304539,0.008466669474028682,1.4094768542906375,0.9613628501335001,8.076327031150377
20,0.03135484932949765,0.9460768710287779,6.853325752442945,0.059267106007525765,0.6708467049789398,0.9651171770009872,5.51213245401451,0.04938320807226014,0.8751972237560816,0.9611602743275404,5.816368445476114
21,0.02944061667526559,0.9704424473558144,5.5754071633584035,0.03883129740064331,0.8327203815102082,0.9732115911934763,5.30781541989795,0.03596354009398806,0.9454617894165507,0.9728581021494364,5.342720545119052
22,0.02978199165224058,0.9733926234881107,5.528128900012843,0.03343708381451939,0.9251957407378718,0.9738280968931488,5.48270381598538,0.03271094131853359,0.9744380281876146,0.9738938035141868,5.475817111307082
23,0.036438100596946806,0.9561874571071144,6.8981591598952745,0.0402918398427166,0.9363684713751653,0.9565942065849511,6.866063724753075,0.034516005137852815,1.015144098289499,0.9563542864311305,6.885013234524042
24,0.0274579480239083,0.7987772361324994,13.040282195551606,0.0865621730512663,0.5005196878975601,0.8639337457585485,10.723181316253577,0.06570872114405955,0.7630352628825613,0.8611836326895446,10.831005400621835
25,0.030560704437699537,0.9574613573390497,7.062578918438307,0.03682088700523523,0.8833103658403539,0.9587229419482233,6.95706190409798,0.032284659350724866,0.9849487722255434,0.9576310500596414,7.048478023802808
26,0.02973140161468144,0.8546063930535566,13.208097329565538,0.0543109290261995,0.6810466286659009,0.8697169928751644,12.502921149342374,0.04340124159072734,0.8962677607175752,0.8634926467838476,12.798103799923162
27,0.025610318603030584,0.9064343014265346,8.867627735673912,0.07546940281806151,0.5151017337383537,0.9608416311562654,5.736690465105122,0.059406616458899685,0.7735058973976241,0.9675758930020877,5.22015180602023
28,0.03220373563688502,0.7984465541568757,11.85068544563486,0.12481628619654253,0.4610288458739777,0.9245022192866945,7.2529627967206425,0.08895564801273725,0.7193129783384138,0.9079562661553373,8.008394726686152
29,0.03578927231485769,0.9133169903097162,9.7591515830969,0.05084360063701752,0.7996308314528987,0.9187738509606584,9.44698018828113,0.04167670240911639,0.9574604989388027,0.9147491977746286,9.6781937027368
30,0.03055904240809827,0.9374854230480106,8.171355252694324,0.048432716495650986,0.7434333218236249,0.94620061058579,7.580399898269755,0.04129387209962333,0.917470263740359,0.9433259442286168,7.780286512029855
Mean,0.030907549382153364,0.9047715500011064,8.988322270040204,0.0631102129875443,0.8505080788977563,0.9450591223859013,7.12799633318426,0.04958906552194441,0.898559986613248,0.9432088152105512,7.219294813038516
SD,0.00325441156426611,0.06872048080544832,2.504364457389192,0.034262633422363555,0.74973463126828,0.029823108252692722,1.9897182022322202,0.02099613294217684,0.15387870737042883,0.030877009620186868,1.9187319600408397
